observed_on_string,observed_on,latitude,longitude,positional_accuracy,geoprivacy,scientific_name
Sat Oct 13 2018 13:16:52 GMT-0500 (CDT),2018-10-13,38.8312860586,-90.3323139132,12,,Lamium amplexicaule
2018/11/06 2:32 PM EST,2018-11-06,43.3555816667,-79.8798383333,,,Lamium amplexicaule
Fri Nov 30 2018 14:59:20 GMT-0600 (CST),2018-11-30,32.6141651335,-96.9960909772,16,,Lamium amplexicaule
Mon Dec 03 2018 14:52:56 GMT-0500 (EST),2018-12-03,40.9007033333,-74.00615555,0,,Lamium amplexicaule
2018/11/27 1:27 PM CST,2018-11-27,32.7454381657,-97.2714500697,33,,Lamium amplexicaule
Fri Dec 07 2018 16:35:44 GMT-0600 (CST),2018-12-07,34.9812287032,-90.9033706349,24,,Lamium amplexicaule
Thu Dec 13 2018 13:25:24 GMT-0600 (CST),2018-12-13,32.6138825506,-96.9963840108,16,,Lamium amplexicaule
Mon Dec 17 2018 16:40:26 GMT-0600 (CST),2018-12-17,32.4674979968,-97.4757313541,5,obscured,Lamium amplexicaule
2018-12-22 10:59:33 AM CST,2018-12-22,35.28381541,-93.20272331,9,,Lamium amplexicaule
Sun Dec 23 2018 13:18:47 GMT-0600 (CST),2018-12-23,29.5211073807,-98.4977612252,4,,Lamium amplexicaule
Mon Dec 24 2018 10:53:16 GMT-0600 (CST),2018-12-24,29.5519835806,-95.3730622491,24,,Lamium amplexicaule
2018-12-26 10:04:07 AM CST,2018-12-26,31.77928094,-85.93811005,5,,Lamium amplexicaule
2019/01/01 9:03 AM CST,2019-01-01,30.0696880518,-95.7395903474,15,,Lamium amplexicaule
2019/01/02 3:14 PM CST,2019-01-02,29.3571530902,-98.6393058454,2,,Lamium amplexicaule
2019/01/03 8:33 AM CST,2019-01-03,29.3880089631,-98.6241350536,2,,Lamium amplexicaule
2019/01/06 1:25 PM HST,2019-01-06,32.0953193527,-96.4617919922,7813,,Lamium amplexicaule
2019-01-06 5:39:35 PM CST,2019-01-06,29.4323841531,-98.6583004519,33,,Lamium amplexicaule
2019/01/07 3:06 PM CST,2019-01-07,29.557734519,-98.450543023,2,,Lamium amplexicaule
2019/01/10 3:58 PM CST,2019-01-10,32.1648866667,-94.812145,,,Lamium amplexicaule
Fri Jan 11 2019 11:05:13 GMT-0600 (CST),2019-01-11,34.4151633333,-87.0856083333,30,,Lamium amplexicaule
2019/01/12 1:22 PM UTC,2019-01-12,29.7611916667,-95.4059083333,,,Lamium amplexicaule
2019/01/12 4:56 PM -0600,2019-01-12,34.4698347261,-86.5281663298,56,obscured,Lamium amplexicaule
2019-01-13 4:00:32 PM CST,2019-01-13,31.7050214,-85.58947352,7,,Lamium amplexicaule
Thu Jan 17 2019 13:42:45 GMT-0600 (CST),2019-01-17,30.0275419262,-96.2904203903,89,,Lamium amplexicaule
2019-01-16,2019-01-16,32.586681,-97.102622,3,,Lamium amplexicaule
2019-01-22 10:21:02 AM CST,2019-01-22,33.5943014773,-101.8752564351,3,obscured,Lamium amplexicaule
2019/01/20 5:28 PM CST,2019-01-20,29.6451544882,-95.0137120548,5,,Lamium amplexicaule
2019/01/23 1:34 PM CST,2019-01-23,32.3252619419,-106.7530249025,2,,Lamium amplexicaule
Thu Jan 24 2019 09:39:25 GMT-0500 (EST),2019-01-24,30.5258026846,-84.2740040194,65,,Lamium amplexicaule
Sat Jan 26 2019 13:18:08 GMT-0600 (CST),2019-01-26,29.99473,-95.5571533333,30,,Lamium amplexicaule
2019-01-31 11:12:16 AM CST,2019-01-31,31.38631723,-85.92680011,5,,Lamium amplexicaule
2019/02/02 3:54 PM CST,2019-02-02,32.4407002537,-96.9351921018,4,,Lamium amplexicaule
Fri Feb 01 2019 07:11:49 GMT-0800 (PST),2019-02-01,34.1512528333,-117.8249966667,12,,Lamium amplexicaule
2019-02-03 10:31:29 PM CST,2019-02-03,30.6453506569,-96.2962068853,8,,Lamium amplexicaule
2019-02-02 14:20:11,2019-02-02,33.4802787918,-101.9833692473,43,obscured,Lamium amplexicaule
Tue Feb 05 2019 17:14:41 GMT-0600 (CST),2019-02-05,32.9114273333,-96.8458101732,6,,Lamium amplexicaule
Wed Feb 06 2019 10:14:11 GMT-0600 (CST),2019-02-06,30.386275,-91.0746166667,6,,Lamium amplexicaule
Wed Feb 06 2019 08:23:31 GMT-0600 (CST),2019-02-06,29.4157,-98.5199583333,5,,Lamium amplexicaule
Wed Feb 06 2019 15:33:20 GMT-0500 (EST),2019-02-06,33.7993883333,-84.4106916667,100,,Lamium amplexicaule
2019-02-07 7:14:39 AM CST,2019-02-07,32.24987802,-86.08875894,9,,Lamium amplexicaule
Sat Feb 09 2019 17:26:01 GMT-0600 (CST),2019-02-09,29.7259094334,-95.3691961338,5,,Lamium amplexicaule
2019/02/09 10:41 AM CST,2019-02-09,29.6192001435,-82.3276481381,8,,Lamium amplexicaule
2019-02-10 3:25:36 PM EST,2019-02-10,35.9025673332,-75.7853855519,7,obscured,Lamium amplexicaule
2019-02-10 11:43:24 AM CST,2019-02-10,31.8738002777,-86.9891052246,,,Lamium amplexicaule
2019-02-11 7:32:12 AM CST,2019-02-11,32.79948772,-85.45604226,11,,Lamium amplexicaule
